,articleCounts
Knowledge Organization,1
Decision Sciences,1
Social Science Quarterly,1
Journal of Business Economics,1
Research Synthesis Methods,1
Urban Planning,1
European Journal of Cultural and Political Sociology,1
European Research on Management and Business Economics,1
Industrial Management and Data Systems,1
Zeitschrift fur Familienforschung,1
Journal of Educational Computing Research,1
Land Degradation and Development,1
Transportation Research Part D: Transport and Environment,1
Social Sciences,1
Environmental Sociology,1
Communication Methods and Measures,1
Osterreichische Zeitschrift fur Soziologie,1
Total Quality Management and Business Excellence,1
Public Relations Review,1
Land Use Policy,1
Discourse and Communication,1
Transportation Research Part F: Traffic Psychology and Behaviour,1
Cultural Sociology,1
European Union Politics,1
Journal of Sustainable Forestry,1
"Proceedings - IEEE 18th International Conference on Advanced Learning Technologies, ICALT 2018",1
Journal of Air Transport Management,1
Journal of Business and Psychology,1
Public Transport,1
Political Communication,1
Geo-Spatial Information Science,1
Digital Investigation,1
Design Studies,1
Journal for Research in Mathematics Education,1
Journal of Forensic and Legal Medicine,1
Law and Ethics of Human Rights,1
"2017 IEEE SmartWorld Ubiquitous Intelligence and Computing, Advanced and Trusted Computed, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovation, SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI 2017 - Conference Proceedings",1
"2018 IEEE Long Island Systems, Applications and Technology Conference, LISAT 2018",1
Service Oriented Computing and Applications,1
Applied Linguistics,1
Artificial Intelligence and Law,1
Digital Library Perspectives,1
"Proceedings - 3rd International Workshop on Social Sensing, SocialSens 2018",1
Journal of Retailing and Consumer Services,1
Crime Science,1
Demographic Research,1
"Proceedings of the International FRUCT Conference on Intelligence, Social Media and Web, ISMW FRUCT 2016",1
"Proceedings of the 11th European Conference on Information Systems Management, ECISM 2017",1
"2016 International Conference on Information Technology, InCITe 2016 - The Next Generation IT Summit on the Theme - Internet of Things: Connect your Worlds",1
Cognition,1
"IEEE/ACM BESC 2016 - Proceedings of 2016 International Conference on Behavioral, Economic, Socio - Cultural Computing",1
"2017 Annual Meeting of the Academy of Management, AOM 2017",1
Research in the Sociology of Organizations,1
Business Process Management Journal,1
Political Analysis,1
Central European Journal of International and Security Studies,1
Sociological Theory and Methods,1
Information Discovery and Delivery,1
Malaysian Journal of Library and Information Science,1
International Journal of Applied Business and Economic Research,1
CSEDU 2017 - Proceedings of the 9th International Conference on Computer Supported Education,1
12th USA/Europe Air Traffic Management R and D Seminar,1
Journal of Interactive Marketing,1
Indo-Iranian Journal,1
International Journal of Engineering Education,1
Online Information Review,1
Kybernetes,1
"Proceedings - 2016 IEEE International Conference on Healthcare Informatics, ICHI 2016",1
User Modeling and User-Adapted Interaction,1
Journal of Archaeological Method and Theory,1
Journal of Information and Knowledge Management,1
"2016 IEEE 18th International Conference on e-Health Networking, Applications and Services, Healthcom 2016",1
Higher Education Research and Development,1
Journal of Product Innovation Management,1
Environmental Impact Assessment Review,1
Law and History Review,1
Artificial Intelligence,1
Journal of Environmental Studies and Sciences,1
Lili - Zeitschrift fur Literaturwissenschaft und Linguistik,1
Cities,1
Journal of Management in Engineering,1
Public Understanding of Science,1
"2017 International Smart Cities Conference, ISC2 2017",1
"Ubi-Media 2017 - Proceedings of the 10th International Conference on Ubi-Media Computing and Workshops with the 4th International Workshop on Advanced E-Learning and the 1st International Workshop on Multimedia and IoT: Networks, Systems and Applications",1
Journal of Hospitality Marketing and Management,1
Annals of the American Association of Geographers,1
Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,1
International Journal of Human Computer Studies,1
Global Environmental Change,1
Games and Culture,1
Journal of Chemical Information and Modeling,1
